question,document
"Can I build a Kestra flow without writing YAML by hand, and what are the no-code choices?",bfe5502c30
"Is there a form-based editor in Kestra, or is it more like drag-and-drop tools such as n8n?",bfe5502c30
"How does the AI Copilot help create a workflow in Kestra, and can I keep editing it with follow-up prompts?",bfe5502c30
"Can I generate Kestra workflows from my editor using tools like Claude Code, Codex, or Kestra CTL instead of the UI?",bfe5502c30
"If my automation is very simple, should I still use Kestra, or would Zapier or n8n be easier?",bfe5502c30
Why do AI tools sometimes make up Kestra YAML fields that aren't actually valid for my version?,93a3e8b98c
How can I check if the YAML an assistant generated for a Kestra plugin is real and not just guessed?,93a3e8b98c
Is there a safer way to generate Kestra flow YAML than using a generic chatbot?,93a3e8b98c
What should I do when a Kestra flow works in one version but the same properties fail in another?,93a3e8b98c
Can you show how to spot a wrong GCS Upload or BigQuery LoadFromGcs config and fix it?,93a3e8b98c
Why do we need to watch token usage in Kestra flows if the LLM call already works?,a4adc70f41
How does tracking tokens in a Kestra workflow help keep AI costs under control?,a4adc70f41
What’s the point of logging token counts from each LLM response in Kestra?,a4adc70f41
How can token monitoring help when a workflow runs in loops or on a schedule?,a4adc70f41
Does Kestra let you use token usage numbers for alerts or dashboards to spot expensive runs?,a4adc70f41
How do I get rid of the Docker Desktop error that says mounts denied and the path /tmp/... is not shared from the host?,dd8b4c9fda
"When I run Kestra with Docker Compose, why do I get a mount denied error for /tmp/kestra-wd and how can I fix it?",dd8b4c9fda
What should I change in Docker Desktop if it refuses to mount a folder under /tmp for a container?,dd8b4c9fda
Is there a setting in Docker Desktop for allowing /tmp or /tmp/kestra-wd to be shared with containers?,dd8b4c9fda
"After adding the shared path in Docker Desktop, do I need to restart anything before running docker compose up -d again?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to put in the public repo if I did everything in the Kestra UI?",f29f622684
"Do I need to submit the actual Kestra flow YAML files for homework, or is just filling out the form answers enough?",f29f622684
"If my homework only happened inside Kestra, what files should I download and commit before I share the repo link?",f29f622684
Should I include any scripts or helper files along with the Kestra flows when I submit Module 3?,f29f622684
"Is a README required for the Kestra homework repo, or can I just upload the flow files and send the link?",f29f622684
Why do I keep getting JSONDecodeError: Expecting value when I try to generate ground-truth questions with the LLM?,a3c7e1b4f9
How can I make the model return clean JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What should I set in the OpenAI chat completion call so json.loads works without failing?,a3c7e1b4f9
What exact instruction should I put in the prompt so the output is a JSON object with 5 questions only?,a3c7e1b4f9
Does Gemini or Groq have a similar way to force JSON output for this evaluation task?,a3c7e1b4f9
"Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in Module 4, and what should I do about low RAM?",b8f2d6a30c
"Is there a lighter embedding model I can use in the eval notebook, and do I need to rerun the metrics after changing it?",b8f2d6a30c
Can I move the embedding part out of the notebook into a separate Python script and then load the vectors back later?,b8f2d6a30c
What’s the best way to avoid memory issues in Codespaces when loading an embedding model plus the notebook state?,b8f2d6a30c
Should I process the ground-truth data in batches and clear memory between batches if the kernel dies?,b8f2d6a30c
Why do I still hit Gemini rate limits when I already added `time.sleep(4)` in my loop?,c1e9f4b820
What should I do if the free Gemini quota gets exhausted while I'm generating the ground-truth dataset?,c1e9f4b820
Is it better to switch to OpenAI `gpt-4o-mini` or keep using Gemini for this evaluation task?,c1e9f4b820
How can I avoid losing all my progress if the API cuts me off halfway through a long `tqdm` run?,c1e9f4b820
What’s the easiest free or cheap workaround for generating the full ground-truth set without hitting request limits?,c1e9f4b820
How do I fix the Windows WinError 126 about fbgemm.dll not being found when importing torch?,15e931476c
"I’m getting ""The specified module could not be found"" for torch\lib\fbgemm.dll on Windows — what should I install?",15e931476c
What are the fixes for the fbgemm.dll import error in PyTorch on Windows 10/11?,15e931476c
Do I need Visual C++ Redistributable or full Visual Studio to solve the torch fbgemm.dll missing dependency error?,15e931476c
"Why does PyTorch fail with OSError: [WinError 126] on Windows, and how can I get past the fbgemm.dll issue?",15e931476c
I'm getting psycopg2 OperationalError in prep.py: could not translate host name postgres to address. What should I change so it works?,4b65d5542d
"Why does my python prep.py fail with No such host is known for postgres, and how can I fix the connection?",4b65d5542d
"When I run prep.py, psycopg2 says it can't resolve postgres. Do I need to update something in the .env file?",4b65d5542d
How do I stop the postgres host resolution error in Module 5 Monitoring when running the prep script?,4b65d5542d
My prep.py crashes with OperationalError about host postgres. What value should POSTGRES_HOST be set to?,4b65d5542d
How can I make Pandas stop cutting off long text in a column and show the full content?,641aedbbf5
"In the offline-rag-evaluation notebook, how do I display the whole Explanation column instead of getting '...' in the output?",641aedbbf5
What Pandas setting should I change if I want to see the complete judge LLM explanation in a dataframe cell?,641aedbbf5
"Why does Pandas only show part of my text column, and how can I increase or remove that limit?",641aedbbf5
Is there a quick command to let Pandas print full strings in columns without truncating them?,641aedbbf5
How do I normalize each vector in a Pandas DataFrame column?,5039707c1a
What’s a simple way to divide every vector in a Pandas Series by its length?,5039707c1a
Can I use apply with NumPy to normalize vectors in one DataFrame column?,5039707c1a
How would I create a new column with normalized vectors from an existing column?,5039707c1a
Is there a quick lambda function for vector normalization in Pandas?,5039707c1a
How do I calculate the 75th percentile for a pandas DataFrame column?,b4c8ac5a0c
What’s the pandas way to get a 0.75 quantile from a Series?,b4c8ac5a0c
How can I find a column’s percentile value in pandas without using numpy?,b4c8ac5a0c
What code do I use to compute a quantile for a DataFrame column in pandas?,b4c8ac5a0c
"How do I get the 75% cutoff value from df[""col""] in pandas?",b4c8ac5a0c
"How do I force-remove every Docker container from the terminal, including ones that are still running?",66ccbb7da0
What’s the quickest command to delete all Docker images at once from the command line?,66ccbb7da0
How can I wipe out every Docker volume using terminal commands?,66ccbb7da0
"Is there a simple way to clean up all Docker containers, images, and volumes in one go?",66ccbb7da0
"After using Docker a lot, how can I fully clear containers, images, and volumes from the CLI?",66ccbb7da0
"How can I make sure a user can only leave one feedback vote, like +1 or -1, for each submission in Streamlit?",2e729f1271
Why does `st.session.submitted` keep switching back to `True` after I press one of the feedback buttons?,2e729f1271
I want the feedback buttons to stay disabled unless a new query is submitted — what am I missing with Streamlit session state?,2e729f1271
"After clicking the ask button, how do I prevent the session flag from getting reassigned so the user can’t vote twice?",2e729f1271
Is there a known fix for `st.session.submitted` being reset in a Streamlit app when handling feedback buttons?,2e729f1271
"Why am I getting `exec: ""streamlit"": executable file not found in $PATH` when I start my app with docker-compose, even though it works normally on my machine?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to create the container task because it can’t find the `streamlit` command?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app that I want to run with docker-compose?,e8df9f0d12
How do I fix the issue where a Streamlit container starts fine outside docker-compose but crashes with an OCI runtime error inside it?,e8df9f0d12
"After updating my docker-compose file for Streamlit, what command should I run to rebuild everything and bring the app back up?",e8df9f0d12
"Is the capstone project supposed to be done by one person, or can we submit it as a group?",0fab61eca2
"Can I team up with other students for the capstone, or does each submission need to be separate?",0fab61eca2
"If we build one shared system, is it okay for several people to use it for the capstone?",0fab61eca2
How does the course handle collaboration on the capstone if multiple students work on the same idea?,0fab61eca2
What counts as an acceptable capstone submission if more than one person is involved?,0fab61eca2
"Do I need to submit two capstone projects, or is one enough for the course?",d5fc98925d
What do attempt 1 and attempt 2 mean for the capstone project submission?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so, do they need to be different?",d5fc98925d
"What happens if I miss the first submission window — can I still join in for the second one, and does peer review matter for certification?",d5fc98925d
"Can I count the competition as my capstone project, or are they separate?",e892d44e42
"Is the capstone in llm-zoomcamp meant to be done alone, or can we work as a team?",e892d44e42
"If I join the math-kaggle-llm-competition, does that replace the capstone requirement?",e892d44e42
"Are team submissions allowed for the capstone, or only for the competition?",e892d44e42
What’s the difference between the competition and the capstone in the Capstone Project section?,e892d44e42
How will my capstone project be graded in this course?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
Do I also need to grade other students’ capstone projects?,9a2e2d2008
What happens if I don’t complete the peer-review requirement for capstone?,9a2e2d2008
How is the final score for the capstone project calculated?,9a2e2d2008
"After the submission deadline, how are the projects for review assigned to each participant?",eae0fb50aa
When do we get the list of projects to grade in the capstone project?,eae0fb50aa
How many projects will each participant be assigned to review after submissions close?,eae0fb50aa
Will the project review assignments be shared in a spreadsheet or some other format?,eae0fb50aa
"For the capstone project, what happens with grading once the deadline has passed?",eae0fb50aa
I already sent in my capstone project — why am I still not able to see anything to review?,a8a7fef016
"After the project deadline, do we pick which submissions to evaluate, or are they assigned automatically?",a8a7fef016
Is there a reason I can’t start reviewing other projects before the review list is out?,a8a7fef016
"Once submissions are closed, when do we get assigned projects for evaluation?",a8a7fef016
Do I have any control over which capstone projects I’m supposed to review?,a8a7fef016
Where can I find project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with some good dataset ideas for the LLM Zoomcamp project?,e76a70cde3
What’s the best place to look for project inspiration and data sources for this capstone?,e76a70cde3
"Can you point me to a GitHub page with ideas, datasets, and guidelines for the project?",e76a70cde3
I’m stuck on the project topic—where should I look for suggestions and usable datasets?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing steps in a plain Python script, can I still get full points for that pipeline criterion?",d4f7c08ea1
"Is a Jupyter notebook with the ingestion steps considered okay for the capstone, or is it worth fewer points than a script?",d4f7c08ea1
When would it make sense to use an orchestrator in the capstone instead of just writing Python code?,d4f7c08ea1
"Should I add an orchestration tool only to satisfy the grading rubric, or only if my project really needs recurring ingestion?",d4f7c08ea1
How can I evaluate a recommender-style RAG if I don’t have clear ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic test data for a retrieval system when the dataset items are the answers?,9b0e2d6a47
"For ranking-style RAG, should I use hit rate or NDCG, and why?",9b0e2d6a47
"Can I use an LLM as a judge to score the quality of my RAG results, and how would that work?",9b0e2d6a47
"If multiple results could be acceptable in my recommender RAG, what metric makes the most sense to measure retrieval quality?",9b0e2d6a47
What's a good way to chunk a huge corpus with long PDFs and lots of paragraphs?,6f2a8b3d10
Should I spend time finding the perfect chunking method before I start indexing?,6f2a8b3d10
"Is it okay to begin with simple fixed-size chunks, and what size would you suggest?",6f2a8b3d10
"How can I chunk long, structured docs like legal or financial PDFs without losing exact wording?",6f2a8b3d10
Are there any tools you recommend for turning PDFs into cleaner text or markdown before chunking?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys to run it?",e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the project from scratch without using my credentials?,e5d8a2c761
"Should I include actual keys in the repo, or is there a safer way to handle environment variables for reviewers?",e5d8a2c761
What’s the best way to make the search index or dataset setup repeatable for a peer reviewer?,e5d8a2c761
"How do I keep the project cheap and reproducible for reviewers, including model choice and dependency versions?",e5d8a2c761
"Can I do the homework and capstone project in something other than Python, like JavaScript, Go, or Rust?",ea815eb858
Is it okay to use a non-Python stack for this course if I have a good reason?,ea815eb858
"If I submit the project in another language, what should I put in the README so the reviewer can run it?",ea815eb858
"Do I have to explain how to install and run a non-Python project on Windows, macOS, and Linux?",ea815eb858
"Will a project built in Go, Java, or TypeScript still be accepted if it’s easy to reproduce and review?",ea815eb858
Where do I check out past LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous LLM Zoomcamp project submissions I can browse?,930286278d
Can I see examples of capstone projects from earlier LLM Zoomcamp cohorts?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp projects listed?,930286278d
I want to get a sense of the expected capstone scope—where can I find old project repos?,930286278d
"Do I have to announce my capstone project idea before I start working on it, or can I just begin without reserving it anywhere?",897a350476
"Is it necessary to claim or reserve a project topic for the LLM Zoomcamp capstone, or is that not required?",897a350476
"If I already have an idea for the capstone project, do I need to post it somewhere first, or can I keep going and only ask for feedback later?",897a350476
"Can I work on a project that is similar to one from a previous year, or does it have to be completely unique?",897a350476
Where can I check old capstone projects to get a sense of the expected scope before I choose my own idea?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is a CLI, notebook, or Slack app acceptable for the project interface?",7318a90b14
"Do you require one specific way to expose the project to users, or can I choose whatever fits my idea?",7318a90b14
Will the course show me how to make a Telegram/WhatsApp or other user interface for the capstone?,7318a90b14
"As long as the project meets the evaluation criteria, can I use any frontend or access method I want?",7318a90b14
"What tool should I use to pull text out of PDFs for a RAG app, or does the course not care which one I pick?",d8b28c47a0
"If my PDFs are scanned images and not real text, what OCR option should I use for the capstone project?",d8b28c47a0
"Can I use docling or PyMuPDF to turn PDFs into Markdown for retrieval, and is that okay for this course?",d8b28c47a0
What should I do if I have mixed document types and weird layouts — is there a library that handles that better?,d8b28c47a0
"After extracting text from my PDFs, how do I decide which tool gives the cleanest output for my dataset?",d8b28c47a0
Can I reuse the workshop content in my own capstone project?,d850a0e7ea
Is it okay to use dlt from this workshop in other Zoomcamp projects too?,d850a0e7ea
Can I take the materials from this open-source workshop and apply them to my own data project?,d850a0e7ea
"If I’m doing the MLOps Zoomcamp project, can I still use dlt from this workshop?",d850a0e7ea
Where can I ask questions if I want to use these workshop materials in my project?,d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to start a dlt filesystem to duckdb project?,6bceeebf04
I'm trying to set up dlt from cloud sources—what's the initial init command?,6bceeebf04
Which dlt init command do I use when working with filesystem data and duckdb?,6bceeebf04
Where do I begin if I want to load cloud files into duckdb with dlt?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
What does it mean if the table exists error tells me to first call `db.create_table(...)` in the dlt workshop?,0407213397
I renamed my homework table but still get an error opening it—what am I probably missing in the pipeline settings?,0407213397
How can I fix the `notion_pages___homework` table not found issue in the Open-Source Data Ingestion workshop?,0407213397
"If `db.open_table(""notion_pages___homework"")` fails, is there somewhere else besides the table name I should check?",0407213397
Why do I get FileNotFoundError saying the notion_pages___homework table doesn’t exist when I run main()?,e95bfafc0e
How should I fix the table name in line 3 if db.create_table complains about notion_pages___homework?,e95bfafc0e
What is the right way to open the homework table in the dlt workshop code?,e95bfafc0e
I’m seeing an error about a missing table during main() — which table name should I use in db.open_table()?,e95bfafc0e
Can someone show the correct line for opening notion_pages___homework in the script?,e95bfafc0e
How can I check what tables are already in the database?,e394e6f738
Is there a way to list all the tables from the db directly?,e394e6f738
What method should I use to see the table names in the database?,e394e6f738
How do I find out which tables exist in the db?,e394e6f738
"If I want to inspect the database tables, what should I call?",e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are they still missing?",cd19f122f3
"Can I use dlt with ClickHouse or StarRocks right now, or do I need to build something myself?",cd19f122f3
Are there official connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors, is there any plan for the community to add them?",cd19f122f3
"Why can't I find ClickHouse or StarRocks connectors in dlt, and is that something contributions can help with?",cd19f122f3
"Why do I get a 401 Unauthorized when my notebook tries to call the Notion search API, and what should I check first?",0dfba07ace
What usually causes the notebook to say it has no secret access for api.notion.com/v1/search?,0dfba07ace
How can I fix a Notion API authorization error in the dlt workshop notebook?,0dfba07ace
Could this 401 error be from a bad token or wrong permissions in my Notion setup?,0dfba07ace
What should I verify if the notebook can’t access the Notion API and keeps failing with Unauthorized?,0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how do I install the newer one from source?",4b30b918bc
What command should I use to force-install requests v2.32.3 instead of the older version?,4b30b918bc
I'm getting a 401 Client Error during setup—does that mean my key is wrong or access isn't enabled?,4b30b918bc
How can I make sure requests is installed from the GitHub release zip rather than the default package version?,4b30b918bc
Is there a direct pip install line for the exact requests version needed by lancedb?,4b30b918bc
